ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10443720007382518,03/01/2022,03/02/2022 06:18:33,00:00,00:15,.145,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,00:15,00:30,.188,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,00:30,00:45,.125,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,00:45,01:00,.146,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,01:00,01:15,.133,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,01:15,01:30,.131,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,01:30,01:45,.125,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,01:45,02:00,.151,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,02:00,02:15,.122,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,02:15,02:30,.122,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,02:30,02:45,.151,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,02:45,03:00,.122,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,03:00,03:15,.133,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,03:15,03:30,.14,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,03:30,03:45,.122,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,03:45,04:00,.151,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,04:00,04:15,.122,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,04:15,04:30,.134,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,04:30,04:45,.14,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,04:45,05:00,.121,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,05:00,05:15,.152,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,05:15,05:30,.122,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,05:30,05:45,.151,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,05:45,06:00,.124,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,06:00,06:15,.15,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,06:15,06:30,.126,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,06:30,06:45,.14,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,06:45,07:00,.134,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,07:00,07:15,.145,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,07:15,07:30,.128,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,07:30,07:45,.138,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,07:45,08:00,.137,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,08:00,08:15,.132,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,08:15,08:30,.14,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,08:30,08:45,.121,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,08:45,09:00,.139,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,09:00,09:15,.14,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,09:15,09:30,.116,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,09:30,09:45,.122,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,09:45,10:00,.133,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,10:00,10:15,.128,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,10:15,10:30,.133,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,10:30,10:45,.122,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,10:45,11:00,.122,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,11:00,11:15,.121,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,11:15,11:30,.122,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,11:30,11:45,.122,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,11:45,12:00,.121,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,12:00,12:15,.122,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,12:15,12:30,.122,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,12:30,12:45,.124,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,12:45,13:00,.12,A,Consumption
'10443720007382518,03/01/2022,03/02/2022 06:18:33,13:00,13:15,.125,A,Consumption
